Ticker,Price,Price_Date,Currency,FX_Rate,Revenue,Net_Income,EPS_Raw,EPS_Local,EBITDA,Total_Assets,Total_Equity,Total_Debt,Cash,Operating_Income,Pretax_Income,Tax_Expense,Avg_Shares,Gross_Margin,Oper_Margin,Profit_Margin,EBITDA_Margin,Fiscal_Year,Period_End,Income_Currency,FX_Applied,Calc_roe,Calc_roa,Calc_roic,Calc_pe_ttm,Calc_pe_forward_est,Calc_pb,Calc_ev_ebitda,Calc_ev_sales,Calc_debt_equity,Calc_current_ratio,Calc_working_capital,Anomalies
PYPL,62.3,2026-08-20,USD,1.0,34128000000.0,4902000000.0,5.341323889948243,5.341323889948243,6909000000.0,80173000000.0,20256000000.0,9987000000.0,10422000000.0,6282000000.0,5863000000.0,961000000.0,917750000.0,45.7542194092827,18.40717299578059,14.363572433192687,20.244374120956397,2026,2026-06-30,USD,False,0.24200236966824645,0.061142778740972646,0.2649877412564437,11.66377498980008,8.800531054657444,2.82,8.21,1.66,0.49303909952606634,1.2867170510087633,13316000000.0,
RKLB,72.95,2026-08-20,USD,1.0,679578000.0,-182615000.0,-0.32877454890098373,-0.32877454890098373,-175401000.0,2324478000.0,1721854000.0,253955000.0,1016577000.0,-225619000.0,-211282000.0,-28667000.0,555441413.0,36.55606861905476,-33.19986815347171,-26.871823396284167,-25.810282263404645,2026,2026-03-31,USD,False,-0.10605719184088779,-0.07856172439575682,-0.2032946548035957,,,23.53,,58.5,0.14748927609425655,4.082636721319317,1031068000.0,eps_negative (loss)
SBUX,103.99,2026-08-20,USD,1.0,38338300000.0,1982700000.0,1.741004983206375,1.741004983206375,4644300000.0,32019700000.0,-8089200000.0,26611500000.0,3467000000.0,3873200000.0,3076100000.0,1094000000.0,1138825000.0,22.07427037714244,10.102691042638822,5.171590811277495,12.113995664909503,2026,2026-06-30,USD,False,-0.2451045838896306,0.06192125472755835,0.16576987923407754,59.72986924396025,113.83133030866931,,30.48,3.69,-3.289756712653909,0.7230177074355559,-2828100000.0,
STNE,9.16,2026-08-20,USD,1.0,2580734455.0,664805398.0,2.580060919021807,2.580060919021807,1519400942.0,11374273507.0,2014747307.0,3210163411.0,1423522914.0,1335843117.0,521265125.0,-167710478.0,257670427.0,74.12357139939495,51.76212974848886,25.76031783770705,58.87474937324006,2026,2026-03-31,USD,True,0.3299696174115767,0.058448163534413684,0.46447084056134813,3.5503037670416253,,1.17,2.73,1.61,1.5933330197790239,1.369939275639775,2783092751.506299,
TEAM,174.91,2026-08-20,USD,1.0,,,0.0,0.0,,6103529000.0,1058442000.0,1232910000.0,1239512000.0,,,18029000.0,260147250.0,,,,,2026,2026-06-30,USD,False,0.0,0.0,0.0,,,42.99,,,1.164834728780604,0.7832600791682628,-774006000.0,eps_negative (loss)
TSLA,345.13,2026-08-20,USD,1.0,103619000000.0,3804000000.0,1.1768891638951195,1.1768891638951195,10849000000.0,137806000000.0,82865000000.0,14719000000.0,44059000000.0,4772000000.0,5217000000.0,1353000000.0,3232250000.0,18.851754987019756,4.605332998774355,3.671141392987772,10.470087532209343,2026,2026-06-30,USD,False,0.0459059916732034,0.027604023046892006,0.06603284970800648,293.2561625920084,552.4399444733872,13.46,100.12,10.48,0.17762625957883305,2.1644068865485275,36928000000.0,pe_ttm=293.3 out_of_range
ULTA,515.14,2026-08-20,USD,1.0,12708310000.0,1188896000.0,26.748772407431364,26.748772407431364,1889609000.0,6999294000.0,2803451000.0,2182061000.0,494243000.0,1598128000.0,1574789000.0,381085000.0,44446750.0,39.33351484186332,12.575456531985763,9.355264389993634,14.869081726838582,2027,2026-04-30,USD,False,0.42408303194883734,0.16985941724979692,0.26972224744648104,19.258453889154307,18.318792187734157,8.17,13.01,1.93,0.7783481858609264,1.4135173458038377,919804000.0,
WDAY,197.32,2026-08-20,USD,1.0,9854000000.0,847000000.0,3.2334075515527134,3.2334075515527134,1374000000.0,18074000000.0,7805000000.0,3821000000.0,5443000000.0,1156000000.0,1261000000.0,414000000.0,261952750.0,75.76618632027603,11.731276638928353,8.595494215546987,13.9435762127055,2027,2026-04-30,USD,False,0.10852017937219731,0.04686289697908598,0.1255818600616692,61.025403341204246,37.425628375562745,6.62,36.44,5.08,0.48955797565663034,1.321574161179053,2051000000.0,
WIX,82.39,2026-08-20,USD,1.0,2133692000.0,-174648000.0,-3.327849765517287,-3.327849765517287,-175958000.0,2610974000.0,-366002000.0,1586609000.0,1180495000.0,-181369000.0,-169604000.0,1711000.0,52480734.0,66.64265507861491,-8.500242771684011,-8.185248855036246,-8.246644782845884,2026,2026-06-30,USD,False,0.477177720340326,-0.06688998052067925,-4.567179091975407,,,,,2.22,-4.334973579379348,1.189952734930046,211353000.0,eps_negative (loss)
XP,15.99,2026-08-20,USD,1.0,1540906229.0,982157651.0,1.8789036419739698,1.8789036419739698,-811895348.0,72398822896.0,4299380683.0,19028907431.0,13349136936.0,-854427123.0,1032975288.0,51139252.0,522729122.0,28.63018264257855,-55.44965079500119,63.738962990537104,-52.68947151898096,2026,2026-03-31,USD,True,0.22844165780631337,0.013565933967549066,-0.08138239379866737,8.51028208301356,6.102917068859575,1.94,,9.11,4.425964769055231,0.7108681627430165,-11061060982.289574,
ABEV,2.83,2026-08-20,BRL,0.18,15888295440.0,2924441100.0,0.18574533477095526,1.031918526505307,5501210040.0,26115696000.0,15979464000.0,609642000.0,3657582000.0,4192522020.0,3674944800.0,659323440.0,15744358283.0,51.90317004830318,26.387487794600073,18.406260829198175,34.62429346668795,2026,2026-06-30,BRL,False,0.18301246524914727,0.11198020914319112,0.26604287526680587,15.235914288182292,13.35836337256377,2.79,7.55,2.61,0.03815159256906239,0.9622010912472149,-310248000.0,currency=BRL verify_fx_handling
BABA,130.53,2026-08-20,USD,1.0,145403469428.0,14673347689.0,6.321993833991149,6.321993833991149,7764167381.0,276849583182.0,163286698079.0,40844073940.0,45943312794.0,8398252104.0,18333748062.0,4266608779.0,2321000000.0,39.76685116261327,5.775826489514664,10.091470132344284,5.339740111533888,2026,2026-03-31,USD,True,0.08986248029581106,0.05300115506777082,0.040735343733143914,20.646967306134634,24.93103974369119,1.86,38.36,2.05,0.2501371784740782,1.2820561799167922,19481116346.50235,
BMY,65.47,2026-08-20,USD,1.0,49187000000.0,9282000000.0,4.554465161923455,4.554465161923455,14457000000.0,90038000000.0,18506000000.0,47139000000.0,10673000000.0,13842000000.0,11910000000.0,2634000000.0,2038000000.0,70.1567487344217,28.141582125358326,18.87083985605953,29.391912497204547,2026,2026-06-30,USD,False,0.5015670593321085,0.1030898065261334,0.19611295587898103,14.374904115492349,,7.21,11.75,3.45,2.547227926078029,1.2550711021907162,5973000000.0,
